193792, 0.00
193797, 0.00
193802, 0.00
193807, 0.05
193812, 0.11
193817, 0.16
193822, 0.26
193827, 0.36
193832, 0.46
193837, 0.50
193842, 0.54
193847, 0.63
193852, 0.72
193857, 0.80
193862, 0.88
193867, 0.97
193872, 0.99
193877, 1.01
193882, 1.09
193887, 1.16
193892, 1.24
193897, 1.31
193902, 1.37
193907, 1.38
193912, 1.40
193917, 1.46
193922, 1.52
193927, 1.58
193932, 1.64
193937, 1.70
193942, 1.70
193947, 1.70
193952, 1.76
193957, 1.81
193962, 1.86
193967, 1.86
193972, 1.86
193977, 1.91
193982, 1.96
193987, 2.00
193992, 2.05
193997, 2.09
194002, 2.08
194007, 2.07
194012, 2.12
194017, 2.16
194022, 2.20
194027, 2.24
194032, 2.28
194037, 2.26
194042, 2.25
194047, 2.28
194052, 2.32
194057, 2.36
194062, 2.39
194067, 2.43
194072, 2.46
194077, 2.49
194082, 2.47
194087, 2.45
194092, 2.48
194097, 2.51
194102, 2.54
194107, 2.57
194112, 2.60
194117, 2.57
194122, 2.55
194127, 2.58
194132, 2.60
194137, 2.63
194142, 2.66
194147, 2.68
194152, 2.71
194157, 2.73
194162, 2.70
194167, 2.67
194172, 2.70
194177, 2.72
194182, 2.75
194187, 2.77
194192, 2.79
194197, 2.81
194202, 2.83
194207, 2.80
194212, 2.77
194217, 2.79
194222, 2.81
194227, 2.83
194232, 2.85
194237, 2.87
194242, 2.89
194247, 2.91
194252, 2.87
194257, 2.84
194262, 2.86
194267, 2.88
194272, 2.90
194277, 2.92
194282, 2.93
194287, 2.95
194292, 2.97
194297, 2.93
194302, 2.89
194307, 2.91
194312, 2.93
194317, 2.95
194322, 2.96
194327, 2.98
194332, 3.00
194337, 3.01
194342, 2.97
194347, 2.93
194352, 2.95
194357, 2.97
194362, 2.98
194367, 3.00
194372, 3.02
194377, 2.98
194382, 2.94
194387, 2.96
194392, 2.97
194397, 2.99
194402, 3.00
194407, 3.02
194412, 2.98
194417, 2.94
194422, 2.96
194427, 2.97
194432, 2.99
194437, 3.01
194442, 3.02
194447, 3.04
194452, 3.05
194457, 3.01
194462, 2.97
194467, 2.99
194472, 3.00
194477, 3.02
194482, 3.03
194487, 3.05
194492, 3.01
194497, 2.97
194502, 2.98
